1;omschrijving;level;VT12;controle;soort;VLB;control2;soort2;;klopt dit?;;;;;;;mate van belangrijkheid
148;Huurregel referentie toegekend door;5;LeaseChargeReferenceAllocatedBy;LeaseChargeReferenceAllocatedBy;Enumeration;; ; ;3;;;;;;;;3
149;Huurregel referentie toegekend door (beschrijving);5;LeaseChargeReferenceAllocatedByDescription;LeaseChargeReferenceAllocatedByDescription;String;; ; ;3;;;;;;;;3
150;Omschrijving unieke huurregel referentie;5;LeaseChargeReferenceDescription;LeaseChargeReferenceDescription;String;; ; ;3;;;;;;;;3
151;Breakregels van het object;5;ObjectLeaseChargesBreak;ObjectLeaseChargesBreak;Abstract;;; ;3;;;;;;;;3
152;Interne id van de huurregels [as];5;InternalIDLeaseChargesAxis;InternalIDLeaseChargesAxis;Abstract;;; ;3;;;;;;;;3
153;Interne id van de huurregels [typed member];5;InternalIDLeaseChargesTypedMember;InternalIDLeaseChargesTypedMember;String;;; ;3;;;;;;;;3
154;Interne id van het onderpand / object [as];5;InternalIDCollateralAxis;InternalIDCollateralAxis;Abstract;;; ;3;;;;;;;;3
155;Interne id van het onderpand / object [typed member];5;InternalIDCollateralTypedMember;InternalIDCollateralTypedMember;String;;; ;3;;;;;;;;3
156;Datum break optie in huurovereenkomst;5;BreakDate;BreakDate;Date;; ; ;3;;;;;;;;1
157;Eerste mogelijke opzegdatum;5;FirstNoticeDate;FirstNoticeDate;Date;; ; ;3;;alleen als het hele object aan één partij verhuurd wordt;;;;;;2
158;Laatste mogelijke opzegdatum;5;LastNoticeDate;LastNoticeDate;Date;; ; ;3;;alleen als het hele object aan één partij verhuurd wordt;;;;;;2
159;Partij(en) die de break mogen uitoefenen;5;BreakParty;BreakParty;String;; ; ;3;;;;;;;;3
160;Bedrag gemoeid met het uitoefenen van een break-optie;5;BreakPenalty;BreakPenalty;Monetary;; ; ;3;;;;;;;;3
161;Partij die bij het uitoefenen van een break-optie het bedrag betaalt;5;BreakPenaltyParty;BreakPenaltyParty;String;; ; ;3;;;;;;;;3
162;Rollende break-optie;5;BreakRollingOption;BreakRollingOption;Enumeration;; ; ;3;;;;;;;;3
163;Object huurbedrag;5;ObjectRentMeasurement;ObjectRentMeasurement;Abstract;;; ;3;;;;;;;;3
164;Interne id van de huurregels [as];5;InternalIDLeaseChargesAxis;InternalIDLeaseChargesAxis;Abstract;;;;3;;;;;;;;3
165;Interne id van de huurregels [typed member];5;InternalIDLeaseChargesTypedMember;InternalIDLeaseChargesTypedMember;String;;;;3;;;;;;;;3
166;Interne id van het onderpand / object [as];5;InternalIDCollateralAxis;InternalIDCollateralAxis;Abstract;;;;3;;;;;;;;3
167;Interne id van het onderpand / object [typed member];5;InternalIDCollateralTypedMember;InternalIDCollateralTypedMember;String;;;;3;;;;;;;;3
168;Contracthuur;5;ContractRent;ContractRent;Monetary;; ; ;3;;alleen als het hele object aan één partij verhuurd wordt;;;;;;2
169;Methode berekenen huurbedrag;5;ContractRentMethod;ContractRentMethod;Enumeration;; ; ;3;;alleen als het hele object aan één partij verhuurd wordt;;;;;;3
170;Brontype huurgegevens / huurlijsten;5;ContractRentSourceType;ContractRentSourceType;Enumeration;; ; ;3;;;;;;;;3
171;Datum huurbedrag;5;ContractRentDate;ContractRentDate;Date;; ; ;3;;alleen als het hele object aan één partij verhuurd wordt;;;;;;3
172;Basishuur per jaar;5;ContractRentPerYear;ContractRentPerYear;Monetary;; ; ;3;;alleen als het hele object aan één partij verhuurd wordt;;;;;;2
173;Object markthuur;5;ObjectMarketMeasurement;ObjectMarketMeasurement;Abstract;;; ;3;;;;;;;;3
174;Interne id van de huurregels [as];5;InternalIDLeaseChargesAxis;InternalIDLeaseChargesAxis;Abstract;;;;3;;;;;;;;3
175;Interne id van de huurregels [typed member];5;InternalIDLeaseChargesTypedMember;InternalIDLeaseChargesTypedMember;String;;;;3;;;;;;;;3
176;Interne id van het onderpand / object [as];5;InternalIDCollateralAxis;InternalIDCollateralAxis;Abstract;;;;3;;;;;;;;3
177;Interne id van het onderpand / object [typed member];5;InternalIDCollateralTypedMember;InternalIDCollateralTypedMember;String;;;;3;;;;;;;;3
178;Markthuur;5;MarketRent;MarketRent;Monetary;; ; ;3;;alleen als het hele object aan één partij verhuurd wordt;;;;;;2
179;Brontype markthuurwaarde;5;MarketRentSourceType;MarketRentSourceType;Enumeration;; ; ;3;;;;;;;;3
